account_id,D_total_count,D_Total_Months,Total_D,D_monthly_average,D_min_val,D_max_val,D_count_of_the_mode,D_amount_mode,Pension,Base_Salary,Peak_Salary
1044,39,37,620612,16593.9037,500,22886,30,15257,0,0,0
1045,1,0,800,0.0000,800,800,0,,6333,0,0
1046,59,44,577048,12986.8267,100,16655,36,11103,0,0,0
1047,65,55,413245,7536.3830,200,9764,45,6509,0,0,0
1048,1,0,1100,0.0000,1100,1100,0,,5993,0,0
1049,7,12,18500,1541.6667,200,8600,0,,0,3749,3749
1050,6,54,16600,307.4074,300,5700,0,,0,25317,37976
1051,65,63,881340,14063.9362,800,19332,51,12888,0,0,0
1052,87,63,465655,7340.8565,100,48867,63,1400,0,0,0
1053,66,55,611305,11034.3863,200,14678,45,9785,0,0,0
1054,80,71,755500,10680.9614,400,14475,58,9650,0,0,0
1055,1,0,600,0.0000,600,600,0,,0,3071,3071
1056,14,12,336083,28481.6102,1100,47609,0,,0,0,0
1057,1,0,1000,0.0000,1000,1000,0,,4636,0,0
1058,31,30,790100,25990.1316,1000,36420,25,24280,0,0,0
1059,1,0,1100,0.0000,1100,1100,0,,0,3220,3220
1060,12,24,143059,6019.3128,500,43635,2,800,0,0,0
1061,17,14,98419,7063.5646,1000,8528,11,5685,0,0,0
1062,66,66,1634908,24846.6261,1000,34764,54,23176,0,0,0
1063,33,27,247035,9082.1691,200,11895,22,7930,0,0,0
1064,1,0,500,0.0000,500,500,0,,5948,0,0
1065,101,70,422170,6059.8565,300,38937,69,1300,0,0,0
1066,51,28,1367782,49737.5273,900,49311,0,,0,0,0
1067,55,28,1451694,52156.6707,1000,49618,0,,0,0,0
1068,27,22,445411,20245.9545,1000,46619,2,17100,0,0,0
1069,1,0,700,0.0000,700,700,0,,4621,0,0
1070,34,32,576598,18018.6875,200,24626,26,16417,0,0,0
1071,85,67,1880128,28230.1502,600,49712,2,2400,0,0,0
1072,16,12,180246,14978.8920,300,20348,10,13565,0,0,0
1073,98,58,556200,9534.8571,300,23800,48,5765,0,0,0
1074,32,31,749371,23890.6801,1000,33016,25,22011,0,0,0
1075,69,41,349073,8418.1592,100,11100,34,6114,0,0,0
1076,65,50,691151,13795.4291,200,17966,41,11977,0,0,0
1077,116,71,547442,7724.9577,600,45544,70,1500,0,0,0
1078,1,0,800,0.0000,800,800,0,,6722,0,0
1079,11,54,38100,705.5556,300,10100,0,,0,27016,40524
1080,63,60,1590090,26340.5301,700,36614,50,24409,0,0,0
1081,1,0,800,0.0000,800,800,0,,4512,0,0
1082,1,0,300,0.0000,300,300,0,,5190,0,0
1083,34,25,344380,14056.3265,100,17388,20,11592,0,0,0
1085,19,15,237209,15605.8553,100,20084,13,13389,0,0,0
1086,1,0,700,0.0000,700,700,0,,0,2904,2904
1087,32,30,586335,19719.7870,900,26812,25,17875,0,0,0
1088,1,0,500,0.0000,500,500,0,,5600,0,0
1089,40,39,557192,14460.0000,500,19872,31,13248,0,0,0
1090,37,26,213463,8220.6547,1000,9477,21,6318,0,0,0
1091,46,64,113500,1773.4375,100,11500,3,3200,0,0,0
1092,45,43,553805,13000.1174,200,17980,35,11987,0,0,0
1093,1,0,1000,0.0000,1000,1000,0,,0,48137,72206
1094,1,0,1000,0.0000,1000,1000,0,,6023,0,0
1095,20,18,411525,23076.1682,200,31610,15,21073,0,0,0
1096,1,0,400,0.0000,400,400,0,,6435,0,0
1097,37,30,651675,21602.4862,300,28545,25,19030,0,0,0
1098,1,0,600,0.0000,600,600,0,,5784,0,0
1100,1,0,700,0.0000,700,700,0,,0,3239,3239
1101,17,15,356340,23862.0536,200,32340,12,21560,0,0,0
1102,45,34,292456,8534.7082,200,10782,28,7188,0,0,0
1103,44,42,957013,22986.7014,600,31444,35,20963,0,0,0
1104,40,36,634918,17410.9141,800,24128,30,16085,0,0,0
1105,56,52,502583,9677.4647,100,13173,43,8782,0,0,0
1106,85,64,1764288,27567.0000,800,49123,2,12000,0,0,0
1107,1,0,800,0.0000,800,800,0,,6390,0,0
1108,1,0,1000,0.0000,1000,1000,0,,4730,0,0
1109,52,50,978099,19509.9535,600,26882,41,17921,0,0,0
1110,22,17,280551,16406.4912,300,22269,14,14846,0,0,0
1111,35,34,766300,22341.1079,400,31050,28,20700,0,0,0
1112,50,47,962165,20588.4094,400,28228,39,18819,0,0,0
1113,45,27,304138,11334.3354,200,12704,22,8469,0,0,0
1114,68,62,1557544,25027.4879,300,49695,0,,0,0,0
1115,1,0,300,0.0000,300,300,0,,0,3440,3440
1116,82,66,900300,13717.1153,100,18194,54,12129,0,0,0
1117,1,0,400,0.0000,400,400,0,,5370,0,0
1118,74,66,561867,8504.5459,100,11307,55,7538,0,0,0
1120,1,0,900,0.0000,900,900,0,,5428,0,0
1121,34,32,628330,19574.1433,800,26817,26,17878,0,0,0
1122,42,40,425404,10521.1212,500,14376,33,9584,0,0,0
1123,65,62,1103125,17725.6294,400,24345,51,16230,0,0,0
1124,66,31,1672678,53440.1917,900,49480,0,,0,0,0
1125,31,13,730127,55312.6515,900,48858,2,900,0,0,0
1126,108,70,452219,6460.2714,200,14000,57,4187,0,0,0
1127,73,71,1798810,25240.5519,600,34995,59,23330,0,0,0
1128,1,0,400,0.0000,400,400,0,,6189,0,0
1129,47,46,1230054,26779.1147,600,36884,38,24589,0,0,0
1130,1,0,200,0.0000,200,200,0,,6588,0,0
1132,3,63,5300,84.1270,1000,2200,0,,0,48098,72147
1133,1,0,900,0.0000,900,900,0,,4498,0,0
1134,80,71,936920,13220.8843,400,17955,58,11970,0,0,0
1135,1,0,500,0.0000,500,500,0,,5106,0,0
1136,1,0,900,0.0000,900,900,0,,0,30818,46227
1137,1,0,900,0.0000,900,900,0,,0,3182,3182
1138,10,19,50420,2635.1916,100,17430,2,100,0,0,0
1139,61,36,1497694,42070.0562,100,49209,0,,0,0,0
1140,23,13,91583,6834.5522,400,8000,11,4186,0,0,0
1141,10,18,20400,1133.3333,300,9000,0,,0,3275,3275
1142,17,35,42400,1211.4286,500,7800,2,2200,0,3116,3116
1144,1,0,200,0.0000,200,200,0,,0,3375,3375
1145,1,0,900,0.0000,900,900,0,,0,2921,2921
1146,70,64,1538168,24033.8750,1000,32588,52,21725,0,0,0
1147,71,69,1682912,24413.6170,400,34004,56,22669,0,0,0
1149,23,37,176736,4776.6486,100,34166,2,3000,0,0,0
1150,25,14,84504,5841.2903,400,36759,15,1900,0,0,0
1151,44,42,1094179,25867.1158,300,36022,35,24015,0,0,0
1152,1,0,800,0.0000,800,800,0,,0,3279,3279
1153,64,60,787380,13043.2910,200,18018,50,12012,0,0,0
1154,37,16,918936,56958.8430,400,48943,0,,0,0,0
1155,1,0,1100,0.0000,1100,1100,0,,5959,0,0
1156,14,12,288112,23615.7377,300,29774,10,19849,0,0,0
1157,76,69,441200,6357.3487,700,11200,57,5588,0,0,0
1158,1,0,200,0.0000,200,200,0,,6340,0,0
1159,72,59,728162,12390.7317,200,16311,48,10874,0,0,0
1160,6,26,18200,700.0000,100,7500,0,,0,28420,42630
1161,1,0,600,0.0000,600,600,0,,5921,0,0
1164,145,60,439472,7328.6048,300,43543,61,300,0,0,0
1165,23,21,310977,14784.9604,900,20138,17,13425,0,0,0
1166,5,46,9400,204.3478,200,4600,0,,0,18631,27946
1168,53,50,539535,10841.2927,100,14594,41,9729,0,0,0
1169,96,59,2082177,35491.6534,1000,49116,2,10400,0,0,0
1170,14,31,60300,1945.1613,200,18900,2,1100,0,22793,34190
1171,15,12,223152,18752.2689,800,24756,10,16504,0,0,0
1172,5,12,92558,7866.1190,300,49863,0,,0,0,0
1173,1,0,400,0.0000,400,400,0,,0,3453,3453
1174,47,45,1074296,23628.2111,100,32856,37,21904,0,0,0
1176,1,0,1100,0.0000,1100,1100,0,,4556,0,0
1177,14,12,269006,22605.5462,600,30843,10,20562,0,0,0
1178,22,20,454868,23207.5510,900,30816,16,20544,0,0,0
1179,1,0,700,0.0000,700,700,0,,4212,0,0
1180,71,68,1118138,16556.8312,500,22809,55,15206,0,0,0
1181,23,16,129989,8262.0127,200,12700,13,5805,0,0,0
1182,4,21,11100,528.5714,700,4300,2,4300,0,16627,24940
1183,62,44,255424,5853.8732,100,10900,35,4392,0,0,0
1184,1,0,700,0.0000,700,700,0,,0,37791,56686
1185,1,0,700,0.0000,700,700,0,,4246,0,0
1186,33,12,118056,9676.7213,600,30463,25,1400,0,0,0
1187,1,0,1000,0.0000,1000,1000,0,,6220,0,0
1188,42,29,246708,8516.9620,200,11200,24,6632,0,0,0
1189,1,0,600,0.0000,600,600,0,,0,3433,3433
1190,34,27,389133,14253.9560,500,18561,22,12374,0,0,0
1192,34,32,413782,13025.6663,200,17416,26,11611,0,0,0
1193,64,60,952260,15906.3474,200,21611,50,14407,0,0,0
1194,59,57,1353052,23849.3302,500,33198,46,22132,0,0,0
1195,1,0,800,0.0000,800,800,0,,6223,0,0
1196,53,36,1264904,35266.8401,800,48483,0,,0,0,0
1197,28,63,61100,969.8413,100,10000,5,1000,0,3873,3873
1198,7,20,23900,1195.0000,1100,8500,0,,0,18827,28240
1199,35,21,148797,7119.4737,200,10400,17,4065,0,0,0
1200,69,68,1730500,25436.0608,300,35072,56,23381,0,0,0
1201,72,66,1083840,16505.1777,500,22620,54,15080,0,0,0
1203,42,41,918720,22591.4754,1000,30934,34,20623,0,0,0
1204,63,61,1571697,25793.7144,300,35427,50,23618,0,0,0
1205,1,0,1100,0.0000,1100,1100,0,,5239,0,0
1206,1,0,900,0.0000,900,900,0,,5383,0,0
1207,68,67,1394270,20810.0000,700,28635,55,19090,0,0,0
1208,16,13,266420,20031.5789,1000,25260,11,16840,0,0,0
1209,1,0,900,0.0000,900,900,0,,5353,0,0
1210,32,31,689203,22232.3548,400,30388,25,20259,0,0,0
1211,43,28,245642,8639.2263,400,11700,24,6503,0,0,0
1212,1,0,900,0.0000,900,900,0,,6896,0,0
1213,1,0,200,0.0000,200,200,0,,4909,0,0
1214,25,23,415527,18118.9099,500,24782,19,16521,0,0,0
1215,1,0,900,0.0000,900,900,0,,5273,0,0
1216,17,32,31700,990.6250,100,9600,3,1300,0,3524,3524
1217,1,0,200,0.0000,200,200,0,,0,3161,3161
1218,2,8,2100,262.5000,900,1200,0,,0,32134,48201
1219,45,30,247215,8123.1654,200,8968,25,5979,0,0,0
1220,1,0,900,0.0000,900,900,0,,5764,0,0
1221,34,23,773759,33447.7954,1000,49919,0,,0,0,0
1222,1,0,700,0.0000,700,700,0,,6310,0,0
1223,31,29,407660,14287.1495,200,19260,24,12840,0,0,0
1225,63,61,1230230,20311.9978,100,28228,50,18819,0,0,0
1226,31,26,175690,6818.4994,100,8610,21,5740,0,0,0
1227,45,35,544993,15409.7926,200,20108,29,13405,0,0,0
1228,1,0,400,0.0000,400,400,0,,5096,0,0
1229,14,12,224628,18312.0652,500,23186,10,15457,0,0,0
1230,30,20,807428,40037.7521,500,48929,0,,0,0,0
1231,61,60,1119365,18781.2919,600,26198,49,17465,0,0,0
1232,15,28,124287,4492.3012,200,45039,0,,0,0,0
1233,1,0,300,0.0000,300,300,0,,0,3390,3390
1234,1,0,1100,0.0000,1100,1100,0,,6390,0,0
1235,1,0,500,0.0000,500,500,0,,4339,0,0
1236,94,68,389716,5705.9444,100,37062,69,1600,0,0,0
1237,95,58,2296525,39595.2586,1100,49968,2,5300,0,0,0
1238,1,0,600,0.0000,600,600,0,,6126,0,0
1239,1,0,900,0.0000,900,900,0,,6668,0,0
1240,17,15,186283,12363.9159,800,16353,12,10902,0,0,0
1241,40,30,206655,6997.3476,200,8541,25,5694,0,0,0
1242,43,25,887227,35489.0800,200,47757,0,,0,0,0
1243,22,36,228244,6345.9870,100,46024,0,,0,0,0
1244,43,31,200452,6383.8217,200,7842,25,5228,0,0,0
1245,15,13,165265,12647.8316,1100,16455,10,10970,0,0,0
1246,1,0,1100,0.0000,1100,1100,0,,6148,0,0
1247,107,67,2474639,36824.9851,300,49683,3,7700,0,0,0
1248,1,0,600,0.0000,600,600,0,,6372,0,0
1249,24,43,67900,1579.0698,400,10200,3,2400,0,3686,3686
1250,2,8,1500,187.5000,600,900,0,,0,22831,34246
1251,48,42,942336,22490.1193,400,49827,3,8400,0,0,0
1252,5,40,6000,150.0000,300,2500,0,,0,24688,37032
1253,26,20,408044,20267.0861,700,26492,16,17661,0,0,0
1254,71,46,1773255,38858.7655,800,48969,2,13500,0,0,0
1255,1,0,300,0.0000,300,300,0,,0,34934,52401
1256,61,56,942792,16716.1702,300,22908,46,15272,0,0,0
1257,40,39,774515,20117.2727,500,27958,31,18639,0,0,0
1258,1,0,700,0.0000,700,700,0,,0,2900,2900
1259,23,20,340556,16721.2439,500,22008,17,14672,0,0,0
1260,30,25,390290,15570.0798,100,20858,20,13905,0,0,0
1261,48,45,1125094,24763.6244,500,34359,37,22906,0,0,0
1262,1,0,400,0.0000,400,400,0,,6747,0,0
1263,53,36,1188856,33054.3837,200,49877,2,3000,0,0,0
1264,24,22,410658,18751.5068,900,25229,18,16819,0,0,0
1265,1,0,300,0.0000,300,300,0,,6797,0,0
1266,34,30,681805,22904.9832,1100,31006,25,20671,0,0,0
1267,31,29,608185,21314.8949,400,28733,24,19155,0,0,0
1268,33,62,70500,1137.0968,100,9000,3,1000,0,3330,3330
1269,70,57,782203,13635.1482,300,18194,47,12129,0,0,0
1270,4,8,8300,1037.5000,500,3700,0,,0,12464,18696
1271,46,30,245540,8166.5188,100,9288,25,6192,0,0,0
1272,55,67,859394,12826.7761,100,44664,2,5300,0,0,0
1273,59,57,1272175,22227.8684,500,30728,47,20485,0,0,0
1274,45,28,1180002,41549.3662,400,49755,0,,0,0,0
1275,1,0,300,0.0000,300,300,0,,5447,0,0
1276,104,72,602272,8361.0180,100,10600,60,6774,0,0,0
1277,1,0,1000,0.0000,1000,1000,0,,6248,0,0
1279,1,0,1000,0.0000,1000,1000,0,,5381,0,0
1280,1,0,600,0.0000,600,600,0,,5122,0,0
1281,23,20,320156,15901.7881,1100,21086,16,14057,0,0,0
1284,25,17,560929,32995.8235,700,49972,0,,0,0,0
1285,68,67,1390141,20686.6220,300,28558,55,19039,0,0,0
1286,129,62,3317795,53426.6506,500,49937,2,500,0,0,0
1287,15,43,51700,1202.3256,400,10000,0,,0,21046,31569
1288,1,0,600,0.0000,600,600,0,,6059,0,0
1289,32,30,762885,25715.2247,500,35012,25,23341,0,0,0
1291,1,0,600,0.0000,600,600,0,,4821,0,0
1292,60,52,699659,13429.1555,1100,17829,43,11886,0,0,0
1293,30,28,704134,25389.4471,800,34482,23,22988,0,0,0
1294,51,49,774426,15719.0663,300,21654,40,14436,0,0,0
1295,60,50,324019,6463.1449,100,10600,41,5582,0,0,0
1296,1,0,800,0.0000,800,800,0,,5020,0,0
1297,68,65,1450031,22217.0225,400,30767,54,20511,0,0,0
1298,39,35,483448,13708.3554,300,18669,29,12446,0,0,0
1299,10,27,21600,800.0000,200,8400,3,400,0,3913,3913
1301,14,52,240363,4628.2991,200,46251,0,,0,0,0
1302,1,0,800,0.0000,800,800,0,,6090,0,0
1303,21,15,111633,7344.2763,300,8103,12,5402,0,0,0
1304,41,32,765995,23937.3438,200,47207,2,3800,0,0,0
1305,71,64,739705,11486.1025,400,15358,53,10239,0,0,0
1306,49,45,845605,18721.8819,600,25574,37,17049,0,0,0
1307,73,49,334911,6834.9184,100,10200,40,4946,0,0,0
1308,1,0,400,0.0000,400,400,0,,5119,0,0
1309,1,0,1000,0.0000,1000,1000,0,,0,39531,59296
1310,37,34,262232,7667.6023,1100,11500,28,6717,0,0,0
1311,41,36,568660,15988.5661,500,21510,30,14340,0,0,0
1312,1,0,400,0.0000,400,400,0,,5735,0,0
1313,36,15,896870,59264.5374,200,47546,0,,0,0,0
1314,62,61,1108756,18196.2144,600,24996,50,16664,0,0,0
1315,56,44,493284,11143.4639,200,14112,36,9408,0,0,0
1316,1,0,300,0.0000,300,300,0,,0,2973,2973
1317,1,0,1100,0.0000,1100,1100,0,,6732,0,0
1318,16,12,205048,16670.5691,100,29159,0,,0,0,0
1319,20,15,416198,27562.7815,1000,44483,0,,0,0,0
1320,27,25,377375,15074.9001,1000,20235,20,13490,0,0,0
1321,32,21,131077,6362.9612,200,9600,17,4025,0,0,0
1322,1,0,200,0.0000,200,200,0,,4435,0,0
1323,33,31,716153,22929.1249,600,31538,25,21025,0,0,0
1324,28,25,524213,20638.3071,300,27380,21,18253,0,0,0
1325,1,0,300,0.0000,300,300,0,,0,3193,3193
1326,35,25,157040,6223.5139,800,10400,20,4565,0,0,0
1327,77,53,329406,6270.4188,100,49845,52,1400,0,0,0
1328,3,21,9200,438.0952,800,7300,0,,0,32498,48747
1329,5,27,19600,725.9259,500,7300,0,,0,11761,17642
1330,40,26,1056962,40548.4143,900,49868,2,900,0,0,0
1331,2,1,9300,0.0000,600,8700,0,,0,10790,16185
1332,71,70,1681731,24139.6794,300,33503,57,22335,0,0,0
1333,61,51,556842,10868.7443,100,14644,42,9763,0,0,0
1334,80,68,431465,6363.7906,200,8440,55,5627,0,0,0
1335,44,39,639991,16284.7583,200,22313,32,14875,0,0,0
1336,25,22,416296,19243.2666,300,25656,18,17104,0,0,0
1337,112,64,491372,7669.6982,200,12300,53,4896,0,0,0
1338,110,72,2435732,33704.7786,400,49419,2,3700,0,0,0
1339,19,18,401173,22750.8318,900,43645,0,,0,0,0
1340,5,14,21400,1528.5714,1000,10500,0,,0,3944,3944
1341,1,0,1100,0.0000,1100,1100,0,,0,3147,3147
1342,19,14,380554,27443.7981,500,47762,0,,0,0,0
1344,62,40,1726937,43536.2269,200,49329,0,,0,0,0
1345,64,63,1541720,24575.7705,200,34236,51,22824,0,0,0
1346,5,5,17900,3580.0000,100,13500,0,,0,3101,3101
1347,1,0,500,0.0000,500,500,0,,0,3100,3100
1348,18,13,152592,11618.6802,200,15144,10,10096,0,0,0
1349,1,0,700,0.0000,700,700,0,,6529,0,0
1350,33,28,681318,24507.8417,300,49796,2,7900,0,0,0
1351,1,0,300,0.0000,300,300,0,,0,3341,3341
1352,53,51,1378100,26898.5036,500,37200,42,24800,0,0,0
1353,59,57,987296,17443.3922,700,24204,46,16136,0,0,0
1354,1,0,1000,0.0000,1000,1000,0,,4620,0,0
1355,18,16,333255,20785.1351,600,28419,13,18946,0,0,0
1356,34,23,138427,6098.1057,900,11900,19,4117,0,0,0
1357,26,37,61000,1648.6486,100,8600,3,100,0,3435,3435
1358,54,32,225750,7054.6875,300,8300,26,4470,0,0,0
1359,37,61,96600,1583.6066,100,14200,3,2100,0,0,0
1360,90,53,396996,7528.3692,500,47370,54,1200,0,0,0
1361,25,24,547336,22555.0549,1100,31514,20,21009,0,0,0
1362,20,25,398154,16251.1837,1000,37691,0,,0,0,0
1363,23,21,540793,26083.2637,1000,34976,17,23317,0,0,0
1365,25,33,62300,1887.8788,300,10000,3,1200,0,3471,3471
1366,97,70,639776,9096.3412,200,11439,58,7626,0,0,0
1367,31,28,373077,13308.3353,400,18028,23,12019,0,0,0
1368,28,24,421730,17572.0833,1000,38522,0,,0,0,0
1369,49,33,473537,14306.2538,100,17422,27,11615,0,0,0
1370,1,0,600,0.0000,600,600,0,,5800,0,0
1371,1,0,400,0.0000,400,400,0,,4611,0,0
1372,136,70,583219,8319.8146,200,44758,69,1000,0,0,0
1373,1,0,500,0.0000,500,500,0,,0,2962,2962
1374,2,21,4000,190.4762,700,3300,0,,0,48644,72966
1375,60,56,1245446,22174.1128,200,30436,46,20291,0,0,0
1376,1,0,700,0.0000,700,700,0,,4097,0,0
1377,1,0,300,0.0000,300,300,0,,0,3432,3432
1378,72,70,1857538,26410.4929,600,36628,58,24419,0,0,0
1379,18,15,180095,12420.3448,700,15645,12,10430,0,0,0
1380,36,34,885768,26001.0176,1100,35768,28,23845,0,0,0
1381,1,0,1000,0.0000,1000,1000,0,,4058,0,0
1382,1,0,800,0.0000,800,800,0,,0,3089,3089
1383,1,0,1000,0.0000,1000,1000,0,,6909,0,0
1384,2,10,5900,590.0000,800,5100,0,,0,31366,47049
1385,22,19,386256,19910.1031,1000,26022,16,17348,0,0,0
1387,19,24,53200,2216.6667,100,15300,2,2300,0,0,0
1388,58,56,1296220,23105.5258,700,31830,46,21220,0,0,0
1389,35,17,696804,41068.9980,800,48868,0,,0,0,0
1390,35,24,308988,13129.8017,400,16107,20,10738,0,0,0
1391,26,24,421424,17608.2451,600,24226,20,16151,0,0,0
1392,72,68,1729040,25290.6875,700,34768,56,23179,0,0,0
1393,33,25,239830,9593.2000,600,11822,20,7881,0,0,0
1394,1,0,600,0.0000,600,600,0,,6341,0,0
1395,60,37,284538,7628.3646,100,13700,30,5149,0,0,0
1396,59,30,1290377,43012.5667,400,47440,0,,0,0,0
1397,79,70,1314750,18853.9675,200,25917,57,17278,0,0,0
1398,32,53,65400,1233.9623,100,13400,3,1000,0,0,0
1399,45,31,331848,10613.4755,100,13083,25,8722,0,0,0
1401,1,0,300,0.0000,300,300,0,,6850,0,0
1402,84,70,704850,10141.7266,300,13509,57,9006,0,0,0
1403,40,38,648931,17107.1441,1000,23314,31,15543,0,0,0
1404,103,63,1854013,29320.1845,200,48013,3,5600,0,0,0
1405,19,30,45200,1506.6667,400,11100,3,500,0,3581,3581
1406,1,0,200,0.0000,200,200,0,,4141,0,0
1407,51,21,1325464,63724.2308,100,48788,0,,0,0,0
1408,1,0,200,0.0000,200,200,0,,0,36880,55320
1410,66,64,1448547,22645.3413,500,31192,53,20795,0,0,0
1411,72,66,981736,14904.8988,600,20494,54,13663,0,0,0
1412,69,68,1046257,15469.5466,1000,21431,55,14287,0,0,0
1413,44,43,651413,15279.4292,1100,21244,35,14163,0,0,0
1414,51,47,816944,17271.5433,600,23766,39,15844,0,0,0
1416,91,65,2072487,31657.1334,700,49966,0,,0,0,0
1417,51,48,1269408,26281.7391,200,36346,40,24231,0,0,0
1418,26,22,272500,12165.1786,900,15666,19,10444,0,0,0
1419,1,0,400,0.0000,400,400,0,,6051,0,0
1420,1,0,900,0.0000,900,900,0,,5202,0,0
1421,112,51,387372,7570.7883,100,46883,52,1200,0,0,0
1422,1,0,400,0.0000,400,400,0,,5842,0,0
1423,45,40,243064,6143.1508,100,8116,32,5411,0,0,0
1424,21,19,369082,19425.3684,100,26313,15,17542,0,0,0
1425,109,66,606136,9183.8788,100,14900,55,6104,0,0,0
1426,1,0,200,0.0000,200,200,0,,4022,0,0
1427,48,39,525927,13648.6246,400,18207,31,12138,0,0,0
1429,1,0,1100,0.0000,1100,1100,0,,0,3250,3250
1430,8,12,23900,1991.6667,500,13000,0,,0,0,0
1431,73,31,223073,7274.1196,200,40292,32,1200,0,0,0
1432,1,0,1000,0.0000,1000,1000,0,,0,32672,49008
1434,1,0,200,0.0000,200,200,0,,4847,0,0
1435,27,24,612435,25031.4033,800,33155,20,22103,0,0,0
1436,76,49,319454,6546.1885,100,9000,40,4657,0,0,0
1437,10,20,25900,1295.0000,500,8200,2,1500,0,3258,3258
1438,19,15,334384,22644.5147,600,47687,0,,0,0,0
1439,1,0,700,0.0000,700,700,0,,0,3183,3183
1440,26,52,51300,986.5385,300,12600,3,500,0,3198,3198
1441,1,0,500,0.0000,500,500,0,,6354,0,0
1442,68,67,1336121,19813.9545,300,27448,55,18299,0,0,0
1443,17,15,330161,22510.9773,700,29751,12,19834,0,0,0
1444,21,30,56100,1870.0000,100,11500,4,800,0,3037,3037
1445,45,33,271496,8177.5904,100,10179,27,6786,0,0,0
1446,49,47,912907,19286.7676,1100,26780,39,17853,0,0,0
1447,8,21,11200,533.3333,200,3800,0,,0,12508,18762
1448,21,36,54900,1525.0000,100,10100,2,4200,0,0,0
1449,106,64,486109,7556.0984,300,16000,53,4711,0,0,0
1450,1,0,400,0.0000,400,400,0,,6496,0,0
1451,1,0,1000,0.0000,1000,1000,0,,6490,0,0
1452,41,39,850874,21650.7379,500,29914,32,19943,0,0,0
1453,112,63,2994554,47183.0987,600,49266,2,30354,0,0,0
1454,14,16,40100,2506.2500,200,12300,0,,0,0,0
1455,46,36,287144,8028.2572,300,9479,30,6319,0,0,0
1456,76,32,2016301,62553.2885,1100,49939,0,,0,0,0
1458,62,60,1084380,18022.9363,700,24888,50,16592,0,0,0
1459,1,0,900,0.0000,900,900,0,,0,3186,3186
1460,1,0,300,0.0000,300,300,0,,5298,0,0
1461,4,11,15400,1400.0000,200,9600,0,,0,42171,63256
1463,16,26,46200,1776.9231,300,6700,2,1900,0,3336,3336
1464,56,25,1436552,56631.4849,300,48263,0,,0,0,0
1465,20,39,60100,1541.0256,100,10600,2,1800,0,3183,3183
1466,11,20,69485,3474.2500,100,32253,0,,0,0,0
1467,58,56,1197422,21306.4413,800,29396,46,19597,0,0,0
1468,1,0,500,0.0000,500,500,0,,0,3224,3224
1469,1,0,1000,0.0000,1000,1000,0,,6228,0,0
1470,63,59,798048,13579.9433,1100,18646,48,12431,0,0,0
1471,31,29,587574,20214.7018,800,27894,24,18596,0,0,0
1472,50,41,416803,10100.2342,300,13281,34,8854,0,0,0
1473,1,0,600,0.0000,600,600,0,,0,2976,2976
1474,1,0,900,0.0000,900,900,0,,4043,0,0
1475,27,62,185600,2993.5484,200,16900,2,16400,0,20551,30826
1476,1,0,200,0.0000,200,200,0,,6411,0,0
1477,1,0,700,0.0000,700,700,0,,0,3151,3151
1478,39,26,834470,32554.0962,900,47620,0,,0,0,0
1479,18,39,36600,938.4615,400,9600,2,1600,0,3244,3244
1480,42,28,1051456,37731.6746,800,49570,0,,0,0,0
1481,1,0,1000,0.0000,1000,1000,0,,0,3098,3098
1482,27,24,602276,24819.0659,500,34614,20,23076,0,0,0
1483,59,36,353908,9931.9364,100,13400,30,6995,0,0,0
1484,1,0,200,0.0000,200,200,0,,6612,0,0
1485,76,63,1746470,27721.7460,1000,35130,52,23420,0,0,0
1486,37,35,889963,25092.9417,100,35110,29,23407,0,0,0
1487,1,0,1100,0.0000,1100,1100,0,,0,3306,3306
1488,23,20,247916,12605.8983,700,16556,16,11037,0,0,0
1490,39,29,1074703,36554.5238,200,49743,0,,0,0,0
1491,24,18,306656,16696.3339,1000,20154,15,13436,0,0,0
1492,1,0,800,0.0000,800,800,0,,4733,0,0
1493,1,0,200,0.0000,200,200,0,,5009,0,0
1494,17,14,392455,27253.8194,900,35505,12,23670,0,0,0
1495,64,62,1643938,26515.1290,300,36479,51,24319,0,0,0
1496,50,47,755226,16137.3077,400,22089,39,14726,0,0,0
1497,71,66,622678,9477.5951,600,12880,54,8587,0,0,0
1498,27,23,656241,28698.5860,600,46160,0,,0,0,0
1499,103,61,524650,8568.0457,200,13300,50,5500,0,0,0
1500,29,27,653093,24645.0189,1000,33081,22,22054,0,0,0
1501,1,0,500,0.0000,500,500,0,,5813,0,0
1502,22,25,556898,21982.8158,200,49737,0,,0,0,0
1503,1,0,300,0.0000,300,300,0,,4757,0,0
1504,29,28,736537,26525.9424,300,36208,23,24139,0,0,0
1505,73,69,697028,10150.8932,400,13833,56,9222,0,0,0
1506,21,14,108493,7658.3294,500,11900,11,5206,0,0,0
1507,70,65,1516452,23318.0728,800,31910,54,21273,0,0,0
1508,43,35,1058822,30513.6023,500,49784,2,5400,0,0,0
1509,57,56,855380,15412.2523,600,21282,45,14188,0,0,0
1510,37,34,771088,22949.0476,700,31058,28,20705,0,0,0
1511,99,58,2502002,43088.4386,200,49324,2,400,0,0,0
1512,72,60,931212,15572.1070,100,21237,49,14158,0,0,0
1513,68,65,1069768,16585.5504,400,22836,53,15224,0,0,0
1514,1,0,900,0.0000,900,900,0,,5930,0,0
1515,6,45,21500,477.7778,200,7800,0,,0,27343,41014
1516,1,0,500,0.0000,500,500,0,,0,3416,3416
1517,1,0,700,0.0000,700,700,0,,4569,0,0
